name,polis_id,xcoord,ycoord,City_ethnic,Constitution,Region,Size_of_Territory,Demos,Boule,Dikasterion,Gerousia,Nomothetai,Other_Institutions,Total_Institutions,phratriai,demoi,phylai,other_civic_subdivision,Proxenoi,Theorodokoi,Theorodokoi_Type,Panhellenic_Victors,Panhellenic_Victors_Specific_Games,Members_of_the_Delian_League,Stasis,Destruction,Type_of_Destruction,Andrapodismos,Destruction_of_urban_center,Dioikismos,Expulsion_of_population,Population_killed_off,Synoikismos,City_Walls,Political_Architecture,Temple,Theatre,Stoas,Gymnasia,Stadia,Hippodromes,Total_Public_Building_Types,Colonisation
none,none,none,none,none,checkbox,parallel,parallel,binary,checkbox,binary,binary,binary,binary,parallel,binary,binary,binary,binary,binary,binary,binary,binary,parallel,binary,parallel,binary,parallel,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,parallel,parallel
,,,,,"NR,Dem,Ol,Pol,Tyr,Bas",,,,"val1,val2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477-Brykous,477,27.58333333,36.25,Brykountios,NR,25,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
527-Therma,527,25.5,36.33333333,Thermaios,Bas,25,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474-Arkesine,474,25.75,36.33333333,Arkesineus,NR,25,2,1,val2,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
996-Kamiros,996,27.91666667,36.33333333,Kamireus,"Dem,Ol",42,4,1,val2,0,0,0,0,2,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
993-Brikindera,993,28.16666667,36.33333333,Brikindarios,NR,42,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943-Xanthos,943,29.33333333,36.33333333,Xanthios,NR,40,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006-Holmoi,1006,33.91666667,36.33333333,Holmites,NR,43,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995-Ialysos,995,28.16666667,36.41666667,Ialysios,"Dem,Ol",42,4,0,val2,0,0,0,0,0,0,0,1,0,1,0,0,1,15,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0
1000-Rhodos,1000,28.25,36.41666667,Rhodios,NR,42,5,1,val2,1,0,0,0,3,0,1,1,1,1,0,0,1,3,0,5,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,4,3
327-Boia,327,23.06666667,36.5,Boiates,NR,17,2,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330-Etis,330,23.08333333,36.5,Eteios,NR,17,0,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344-Side,344,23.16666667,36.5,,32,17,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525-Tenos,525,27.33333333,36.5,Tenios,"Dem,Ol",25,3,0,val2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
942-Phaselis,942,30.58333333,36.5,Phaselites,NR,40,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
476-Astypalaia,476,26.33333333,36.58333333,,NR,25,3,0,val2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508-Peparethos,508,27.16666667,36.58333333,,NR,25,2,1,val2,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
522-Syros,522,27.83333333,36.58333333,Syrios,NR,25,3,0,val2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002-Idyros,1002,30.58333333,36.58333333,,NR,43,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340-Oitylos/Beitylos,340,22.41666667,36.66666667,Oitylios/Beityleus,NR,17,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337-Las,337,22.5,36.66666667,Laos,NR,17,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
513-Saros,513,24.91666667,36.66666667,Sarios,NR,25,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518-Siphnos,518,25.08333333,36.66666667,Siphnios,NR,25,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
907-Krya,907,28.83333333,36.66666667,Kryeus,Tyr,39,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935-Telandros,935,28.91666667,36.66666667,,NR,39,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313-Asine,313,21.91666667,36.75,Asinaios,NR,16,2,0,val1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
321-Thalamai,321,22.33333333,36.75,Thalamates,NR,16,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
